nodes,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
5,0.001153911420329204,0.010249448498218225,0.046597658238588156,0.12353639911759715,0.21340573561853046,0.25823858815543865,0.20268114712370608,0.10276599355167147,0.03516035974885457,0.005701679959273715,0.00040726285423383675,0.00010181571355845919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0010995052226498076,0.010823254535459043,0.044736118746564045,0.11854040681693238,0.20931830676195712,0.25340159428257286,0.2049546454095657,0.11269928532160528,0.03628367234744365,0.007352941176470588,0.0006871907641561297,6.871907641561298e-05,3.435953820780649e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0008575689783743475,0.011446681580909768,0.04209545115585384,0.10357941834451902,0.18154362416107384,0.22285607755406414,0.197613721103654,0.12867263236390752,0.06334824757643549,0.02807606263982103,0.01185682326621924,0.004250559284116331,0.0024981357196122295,0.0009321401938851603,0.00018642803877703205,0.00011185682326621924,3.728560775540641e-05,3.728560775540641e-05,0.0,0.0
5,0.0012190025076623016,0.00968236277514628,0.0470883254388409,0.11862635831707996,0.2117581499024798,0.2475619949846754,0.20378239063806075,0.11211340206185567,0.03859013652828086,0.00828921705210365,0.0011841738645862357,6.965728615213152e-05,3.482864307606576e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0013446382549583535,0.009337765659433011,0.04422365816307474,0.1169088260561013,0.19336645127553878,0.23680573712322114,0.20580435513390355,0.12243678332648564,0.05046128562357599,0.014903073992455086,0.003249542449482688,0.0009337765659433011,0.0001867553131886602,3.7351062637732046e-05,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0015548917713490732,0.011293424444535374,0.04075453169114939,0.09824460902655592,0.1667826015794427,0.20266786693399894,0.19317484348786776,0.1354801751299153,0.07889029829371087,0.0407136134866402,0.018290437415606202,0.007447113220671877,0.0028642743156430295,0.001186627930766398,0.0004910184541102336,0.0001227546135275584,0.0,4.091820450918614e-05,0.0,0.0
5,0.001215827868248471,0.009616093139783361,0.04465404170658021,0.11428781961535628,0.19633777908776068,0.243202416918429,0.20473804435929555,0.12419865890501805,0.04679095129319873,0.012342495026158721,0.002210596124088129,0.0003684326873480215,3.684326873480215e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0010688246745810589,0.009390388212390731,0.04030995915562851,0.09955338397526434,0.174332938886132,0.2246440432110547,0.2048707867313051,0.13921441386418293,0.07008436080467229,0.026377066076268274,0.007443600412260946,0.0021758216589685842,0.0004198954078711303,0.00011451692941939916,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0015145089961834373,0.010056339734658025,0.03525776943115042,0.07342339613497305,0.12727933603925606,0.16962500757254498,0.17120009692857577,0.14206094384200643,0.10789362088810807,0.07063669958199552,0.04034651965832677,0.02465620645786636,0.012540134488398861,0.006421518143817774,0.003695401950687587,0.0016962500757254498,0.0009087053977100624,0.0005452232386260374,0.0,0.00018174107954201248
1000,0.0010995052226498076,0.010823254535459043,0.044736118746564045,0.11854040681693238,0.20931830676195712,0.25340159428257286,0.2049546454095657,0.11269928532160528,0.03628367234744365,0.007352941176470588,0.0006871907641561297,6.871907641561298e-05,3.435953820780649e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000,0.0006454242815408655,0.005842788232896257,0.027889122902371086,0.08709830830898838,0.16723282831714112,0.23659895373326992,0.22423398328690808,0.155649160948434,0.07143827705686527,0.02000815272776683,0.0031591820096473944,0.00020381819417079964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000,0.0010995052226498076,0.010823254535459043,0.044736118746564045,0.11854040681693238,0.20931830676195712,0.25340159428257286,0.2049546454095657,0.11269928532160528,0.03628367234744365,0.007352941176470588,0.0006871907641561297,6.871907641561298e-05,3.435953820780649e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000,0.00020164000537706682,0.0022516467267105792,0.014350047049334588,0.050342788009141014,0.11560693641618497,0.19293587847829008,0.23084419948917864,0.19969081865842184,0.12300040328001076,0.05390509477080253,0.014148407043957522,0.0025541067347761796,0.00016803333781422234,0.0,0.0,0.0,0.0,0.0,0.0,0.0
